avg price;overall_rating;nation;league;skills;weakfoot;revision;pac;sho;pas;dri;def;phy
1000;77;Spain;LaLiga Santander;4;3;Normal;74;75;75;77;50;63
1000;75;Uruguay;LaLiga 1 i 2 i 3;2;3;Normal;51;47;49;57;76;76
2500;83;Spain;Meiji Yasuda J1 League;4;4;Normal;64;70;86;87;62;60
10750;83;England;Premier League;3;4;Normal;80;62;82;78;78;70
5467;83;italy;Serie A TiM;5;3;CL;81;75;81;87;60;66
733;77;Argentina;LaLiga Santander;4;4;Normal;90;70;72;82;42;67
850;78;Holland;Bundesliga;4;4;Normal;85;70;74;80;42;64
950;80;France;Ligue 1 Conforama;3;3;Normal;66;48;69;74;79;85
683;77;France;LaLiga Santander;2;3;Normal;56;37;52;58;76;77
1067;75;Austria;Bundesliga;3;3;Normal;74;66;71;81;38;66
1142333;87;italy;icons;4;5;icon;88;88;84;89;40;70
650;75;Morocco;Saudi Professional League;2;3;Normal;55;45;51;52;75;80
24167;85;Holland;LaLiga Santander;4;3;CL;79;64;84;88;76;76
136667;88;Germany;Bundesliga;4;4;Normal;85;88;84;87;45;66
1067;77;Argentina;SAF;3;3;Normal;60;76;71;75;37;69
500;75;Norway;Major League Soccer;3;3;Normal;74;74;59;72;33;77
32167;82;Holland;Eredivisie;3;3;UEL LiVE;84;54;74;77;81;89
1100;78;Ukraine;Premier League;3;3;Normal;71;66;80;79;77;66
583;75;italy;Serie A TiM;3;3;Normal;68;69;75;73;68;65
917;78;Morocco;LaLiga Santander;2;2;Normal;54;50;62;59;78;75
817;76;Argentina;Premier League;2;2;Normal;48;28;50;51;77;74
23583;84;France;LaLiga Santander;5;5;Normal;93;79;80;87;36;57
583;76;italy;Hyundai A-League;4;2;Normal;64;70;78;78;33;60
1200;79;Spain;LaLiga Santander;4;3;Normal;83;71;72;81;75;69
500;77;Morocco;Hellas Liga;3;4;Normal;71;78;67;81;37;66
617;76;Portugal;Premier League;3;4;Normal;77;66;70;75;73;70
667;77;France;Belgium Pro League;4;2;Normal;73;67;76;76;67;75
750;75;England;EFL Championship;4;3;Normal;79;72;67;77;43;64
13167;83;Senegal;Bundesliga;2;3;iF;65;55;67;66;84;84
700;76;Colombia;SAF;2;3;Normal;54;32;40;44;76;85
500;76;Portugal;Liga NOS;3;2;Normal;65;44;62;69;76;73
63500;84;Brazil;Eredivisie;5;3;UCL LiVE;88;78;78;89;40;70
652667;85;England;icons;3;3;icon;84;48;65;70;84;83
676667;87;Bulgaria;icons;4;3;icon;87;88;85;87;44;81
500;75;Colombia;Major League Soccer;4;4;Normal;68;76;72;76;48;61
1667;83;Chile;Bundesliga;3;4;Normal;63;72;82;81;74;73
383;75;Argentina;SAF;3;3;Normal;51;61;67;69;74;71
3800;83;Spain;Bundesliga;3;4;Normal;79;84;68;81;36;63
1333;78;France;Ligue 1 Conforama;4;3;Normal;89;75;69;82;36;62
500;76;Slovakia;Major League Soccer;3;4;Normal;72;75;75;75;45;60
28833;84;Germany;Bundesliga;4;3;iF;93;78;78;86;36;73
933;75;Morocco;Liga NOS;4;4;CL;67;68;71;82;37;61
240000;87;Nigeria;icons;5;4;icon;83;79;84;91;41;58
2300;81;Portugal;Bundesliga;4;2;Normal;73;75;82;85;66;57
37500;87;italy;Serie A TiM;4;4;CL;89;79;85;91;35;47
517;75;England;EFL Championship;3;3;Normal;67;55;65;68;75;79
9300;85;Colombia;LaLiga Santander;4;2;CL;55;86;87;86;50;63
800;75;England;Premier League;4;3;Normal;88;67;67;80;37;55
2333;78;Peru;Saudi Professional League;4;4;Normal;86;74;72;82;34;67
700;76;Costa Rica;LiGA Bancomer MX;4;2;Normal;88;74;74;78;40;72
12417;86;Croatia;LaLiga Santander;3;4;CL;62;81;86;81;74;70
1267;78;France;Ligue 1 Conforama;2;3;CL;62;53;66;65;79;83
500;77;Russia;League of Russia;3;4;Normal;76;73;74;77;28;62
500;75;Spain;Major League Soccer;4;4;Normal;65;68;75;76;39;55
700;79;Argentina;Major League Soccer;3;3;Normal;58;79;78;80;41;66
34083;80;Spain;Premier League;4;2;iF;97;71;68;85;40;81
381667;87;Korea Republic;Premier League;4;5;Normal;88;86;80;87;42;68
