avg price;overall_rating;club;nation;league;position;skills;weakfoot;foot;origin;pac;sho;pas;dri;def;phy
4356667;95;icons;Brazil;icons;CF;5;4;Right;Medium;96;93;90;95;56;75
1971667;95;icons;Argentina;icons;CAM;5;3;Left;Medium;88;91;90;95;42;75
4206000;94;icons;Brazil;icons;ST;5;5;Right;Medium;93;93;80;93;46;80
1368000;92;icons;italy;icons;CB;2;4;Right;Medium;82;56;74;68;95;81
1588333;91;icons;Germany;icons;CDM;3;4;Right;Medium;87;84;86;77;89;82
2536333;91;icons;Brazil;icons;CAM;5;4;Right;Medium;91;86;88;92;36;79
2663333;91;icons;Brazil;icons;CF;5;4;Right;Base;94;89;88;93;53;73
568333;91;icons;Holland;icons;ST;3;4;Right;Medium;79;92;75;87;40;70
1687333;91;icons;Argentina;icons;CAM;5;3;Left;Base;93;87;87;94;38;76
1286667;90;icons;italy;icons;CF;4;5;Right;Medium;85;90;85;92;42;69
423667;90;icons;italy;icons;CB;2;3;Right;Medium;71;41;62;66;91;85
2250667;90;icons;Brazil;icons;ST;4;4;Right;Base;94;90;77;91;42;72
853667;90;icons;Holland;icons;CAM;4;4;Right;Medium;85;89;83;88;35;73
1205667;90;icons;France;icons;LW;4;4;Right;Medium;90;88;85;87;51;77
4912667;90;icons;Holland;icons;CM;4;5;Right;Medium;88;88;88;87;80;87
681333;90;icons;Spain;icons;CB;2;3;Right;Medium;72;45;66;58;93;91
927667;89;icons;Brazil;icons;CAM;5;4;Right;Base;80;85;88;90;38;77
297333;89;icons;Denmark;icons;LW;4;4;Right;Medium;82;77;89;90;36;62
568333;89;icons;Holland;icons;ST;3;4;Right;Base;83;91;72;86;35;76
666000;89;icons;Romania;icons;CAM;4;4;Left;Medium;85;87;89;89;40;65
929333;89;icons;France;icons;CB;2;3;Right;Medium;79;68;70;79;90;85
468667;89;icons;England;icons;ST;2;3;Right;Medium;84;90;75;78;48;84
338333;88;icons;italy;icons;ST;3;4;Left;Medium;82;88;70;80;41;84
397667;88;icons;italy;icons;CB;2;3;Right;Base;70;40;63;65;90;85
606000;88;icons;Holland;icons;LW;3;5;Left;Medium;95;81;80;88;44;64
795333;88;icons;France;icons;CDM;2;3;Right;Medium;83;54;69;67;88;88
443000;88;icons;Ukraine;icons;ST;3;4;Right;Medium;84;89;73;85;35;75
750000;88;icons;England;icons;CB;3;3;Right;Medium;80;48;65;64;89;82
822000;88;icons;Brazil;icons;LB;3;2;Left;Medium;90;81;86;79;83;85
773333;88;icons;Germany;icons;CB;3;4;Right;Base;82;82;87;77;90;80
411667;88;icons;Finland;icons;CAM;3;4;Right;Medium;83;89;81;83;33;64
516667;88;icons;italy;icons;LB;2;4;Right;Base;87;54;73;65;90;78
394667;88;icons;Portugal;icons;CAM;4;4;Right;Medium;82;80;87;86;47;76
397000;88;icons;France;icons;LM;4;4;Right;Medium;88;80;86;86;40;62
588333;88;icons;England;icons;ST;3;4;Right;Medium;91;86;66;87;31;62
490333;88;icons;Argentina;icons;RB;2;4;Right;Medium;83;61;85;82;87;80
886333;88;icons;France;icons;CDM;3;3;Left;Medium;75;77;81;77;86;88
594667;88;icons;Holland;icons;CB;3;4;Right;Medium;78;73;79;78;88;85
572667;88;icons;Argentina;icons;CM;3;4;Right;Medium;74;83;88;83;75;82
2212667;88;icons;France;icons;CM;3;3;Right;Medium;85;75;80;84;86;89
438333;88;icons;Holland;icons;ST;4;4;Right;Medium;86;84;79;82;39;81
393000;87;icons;Holland;icons;CF;4;4;Right;Base;76;85;85;87;39;73
586667;87;icons;Argentina;icons;ST;4;4;Right;Medium;86;88;71;86;40;72
251667;87;icons;italy;icons;ST;3;3;Right;Medium;81;88;67;82;35;67
1142333;87;icons;italy;icons;CF;4;5;Right;Base;88;88;84;89;40;70
429000;87;icons;italy;icons;CDM;2;3;Right;Medium;74;62;68;70;87;90
270333;87;icons;Portugal;icons;CAM;4;3;Right;Medium;80;77;87;87;45;63
717333;87;icons;France;icons;LW;4;4;Right;Base;93;82;79;87;43;68
250667;87;icons;England;icons;ST;2;3;Right;Base;76;88;76;76;53;84
240000;87;icons;Nigeria;icons;RM;5;4;Right;Medium;83;79;84;91;41;58
387000;87;icons;Argentina;icons;LB;2;4;Right;Base;88;59;82;80;83;80
611667;87;icons;Mexico;icons;ST;4;3;Right;Medium;91;87;73;87;47;68
335333;87;icons;Sweden;icons;ST;3;4;Right;Medium;85;84;77;82;44;71
711333;87;icons;France;icons;CB;2;3;Right;Base;84;47;61;61;85;87
560667;86;icons;Ukraine;icons;ST;3;4;Right;Base;88;90;67;85;32;71
1139667;86;icons;Holland;icons;CM;3;5;Right;Base;80;80;86;82;83;78
301667;86;icons;England;icons;ST;3;4;Right;Base;84;86;67;85;35;64
1363667;86;icons;France;icons;CM;3;3;Right;Base;81;75;80;79;86;89
542000;86;icons;Brazil;icons;LB;3;2;Left;Base;92;80;79;81;81;78
371667;86;icons;Holland;icons;CDM;3;4;Right;Base;70;67;77;75;86;81
389333;86;icons;Sweden;icons;ST;3;4;Right;Base;86;86;74;84;46;72
281333;86;icons;Holland;icons;LW;3;5;Left;Base;88;78;79;87;48;65
281667;86;icons;Spain;icons;RB;2;3;Right;Base;76;45;68;58;88;89
339000;86;icons;Holland;icons;ST;4;4;Right;Base;87;83;77;81;37;76
488000;85;icons;England;icons;CB;2;3;Right;Base;84;43;56;56;85;85
206333;85;icons;Portugal;icons;CAM;4;3;Right;Base;78;78;87;85;45;65
461667;85;icons;Mexico;icons;ST;4;3;Right;Base;93;84;72;84;49;68
290000;85;icons;Nigeria;icons;RM;5;4;Right;Base;88;80;79;92;37;59
441000;85;icons;Romania;icons;CAM;4;4;Left;Base;86;84;85;87;37;63
220667;85;icons;France;icons;CAM;4;4;Right;Base;72;80;86;82;44;66
384667;85;icons;Argentina;icons;ST;4;4;Right;Base;86;86;70;84;37;70
239000;85;icons;Portugal;icons;CAM;4;4;Right;Base;84;76;84;83;42;75
156000;85;icons;italy;icons;ST;3;3;Right;Base;74;86;65;79;35;62
652667;85;icons;England;icons;CB;3;3;Right;Base;84;48;65;70;84;83
242333;85;icons;Denmark;icons;CF;4;4;Right;Base;87;74;84;89;35;63
270667;85;icons;France;icons;LB;3;3;Left;Base;80;73;80;78;86;83
880667;85;icons;France;icons;CAM;2;3;Right;Base;83;82;75;84;79;78
1237667;93;Piemonte Calcio;Portugal;Serie A TiM;ST;5;4;Right;N\A;90;93;82;89;35;78
29583;89;Piemonte Calcio;italy;Serie A TiM;CB;2;3;Left;N\A;68;46;58;62;90;82
50333;88;Piemonte Calcio;Argentina;Serie A TiM;CAM;4;3;Left;N\A;83;82;84;90;43;64
49667;85;Piemonte Calcio;Brazil;Serie A TiM;LB;3;3;Left;N\A;83;65;77;80;82;82
11250;86;Piemonte Calcio;italy;Serie A TiM;CB;2;4;Right;N\A;58;58;69;71;87;79
11917;86;Piemonte Calcio;Bosnia and Herzegovina;Serie A TiM;CM;3;4;Right;N\A;68;68;87;85;75;67
8500;85;Piemonte Calcio;France;Serie A TiM;CDM;2;2;Left;N\A;75;66;76;78;83;81
30000;84;Manchester City;Portugal;Premier League;RB;4;3;Right;N\A;90;65;80;84;78;71
136667;88;Borussia Dortmund;Germany;Bundesliga;CAM;4;4;Right;N\A;85;88;84;87;45;66
8200;85;Borussia Dortmund;Belgium;Bundesliga;CDM;4;4;Right;N\A;73;74;80;80;83;81
315000;88;Manchester United;France;Premier League;CM;5;4;Right;N\A;74;81;86;85;66;86
7600;85;inter;Belgium;Serie A TiM;ST;3;4;Left;N\A;75;82;73;72;35;84
250333;91;Manchester City;Belgium;Premier League;CAM;4;5;Right;N\A;76;86;92;87;61;78
149333;89;Manchester City;Argentina;Premier League;ST;4;4;Right;N\A;80;90;77;88;33;74
22500;88;Manchester City;Spain;Premier League;CAM;4;2;Left;N\A;65;74;88;89;52;57
