avg price;overall_rating;name;club;nation;league;position;skills;weakfoot;foot;revision;pac;sho;pas;dri;def;phy
650;76;Nikola Milenkovic;Fiorentina;Serbia;Serie A TIM;CB;2;3;Right;Normal;64;44;62;61;75;81
436667;86;Frank Lampard;Icons;England;Icons;CM;3;4;Right;Icon;75;86;85;82;70;76
600;77;Rogelio Funes Mori;Monterrey;Argentina;LIGA Bancomer MX;ST;3;4;Right;Normal;76;74;68;74;43;78
12750;78;Joelinton Apolinário de Lira;Newcastle United;Brazil;Premier League;ST;3;4;Right;OTW;78;75;60;76;43;81
1000;80;Kurt Zouma;Chelsea;France;Premier League;CB;2;3;Right;Normal;64;51;59;56;78;83
600;75;Luciano Aued;Universidad Católica;Argentina;Campeonato Scotiabank;CM;3;3;Left;Normal;57;68;73;72;67;77
650;76;Dmytro Chygrynskyi;AEK Athens;Ukraine;Hellas Liga;CB;2;3;Right;Normal;50;39;59;46;76;75
800;75;Leandro González Pirez;Atlanta United;Argentina;Major League Soccer;CB;2;3;Right;Normal;72;48;62;66;73;78
1933;83;Pablo Sarabia García;Paris Saint-Germain;Spain;Ligue 1 Conforama;CAM;4;4;Left;Normal;75;76;82;84;57;57
2600;82;Iñaki Williams Arthuer;Athletic Club;Spain;LaLiga Santander;ST;4;2;Right;Normal;94;80;72;80;41;82
500;77;Razvan Marin;Ajax;Romania;Eredivisie;CM;4;4;Right;Normal;69;74;78;75;65;70
2200;79;Lucas Alario;Bayer 04 Leverkusen;Argentina;Bundesliga;ST;3;3;Right;CL;71;77;59;75;29;75
1100;75;Ghislain Konan;Stade de Reims;Côte d'Ivoire;Ligue 1 Conforama;LB;3;3;Left;Normal;81;48;68;77;70;73
730333;85;Gianfranco Zola;Icons;Italy;Icons;CF;4;4;Right;Icon;90;85;82;91;41;63
883;80;Ibai Gómez Pérez;Athletic Club;Spain;LaLiga Santander;RM;4;5;Right;Normal;76;79;80;80;59;67
1333;77;Dayot Upamecano;RB Leipzig;France;Bundesliga;CB;2;3;Right;Normal;76;36;59;62;75;80
783;77;Jefferson Farfán;Lokomotiv Moscow;Peru;League of Russia;RM;4;3;Right;Normal;84;73;75;76;36;75
2033;76;Marcel Schmelzer;Borussia Dortmund;Germany;Bundesliga;LB;2;2;Left;CL;74;48;67;66;76;76
883;76;Franco Cervi;SL Benfica;Argentina;Liga NOS;LM;4;3;Left;CL;92;65;68;84;50;51
1300;78;Carlos Izquierdoz;Buenos Aires;Argentina;SAF;CB;2;2;Right;Normal;50;51;54;54;78;81
600;77;Youssef El Arabi;Olympiacos CFP;Morocco;Hellas Liga;ST;3;4;Right;CL;71;78;67;81;37;66
1633;80;Martin Hinteregger;Eintracht Frankfurt;Austria;Bundesliga;CB;2;3;Left;Normal;68;61;64;60;81;80
443000;88;Andriy Shevchenko;Icons;Ukraine;Icons;ST;3;4;Right;Icon;84;89;73;85;35;75
1467;81;Marcelo Brozovic;Inter;Croatia;Serie A TIM;CDM;3;4;Right;Normal;64;73;79;80;76;73
900;78;Martín Cáceres;Fiorentina;Uruguay;Serie A TIM;CB;3;3;Right;Normal;74;51;65;70;79;73
13667;79;Casimir Ninga;Angers SCO;Chad;Ligue 1 Conforama;LW;3;3;Right;IF;95;80;72;76;33;84
733;76;Óscar Duarte;Levante UD;Costa Rica;LaLiga Santander;CB;2;3;Right;Normal;65;47;54;56;77;75
2300;76;Jean-Kévin Augustin;AS Monaco Football Club SA;France;Ligue 1 Conforama;ST;4;3;Right;;81;75;62;79;30;63
1700;82;Quincy Promes;Ajax;Holland;Eredivisie;LW;5;4;Right;CL;91;79;79;82;40;67
12417;84;Georginio Wijnaldum;Liverpool;Holland;Premier League;CM;4;3;Right;CL;77;73;78;85;76;78
639333;89;Gary Lineker;Icons;England;Icons;ST;3;4;Right;Icon;89;90;70;84;38;74
950;77;Miguel Luís Pinto Veloso;Hellas Verona;Portugal;Serie A TIM;CM;3;3;Left;Normal;49;70;82;76;64;65
1300;79;Davide Zappacosta;Roma;Italy;Serie A TIM;RB;3;3;Right;Normal;78;66;72;74;76;74
583;78;Javier Hernández;Sevilla FC;Mexico;LaLiga Santander;ST;3;3;Right;;70;77;64;75;31;59
1200;75;Håvard Nordtveit;TSG 1899 Hoffenheim;Norway;Bundesliga;CB;2;3;Right;Normal;49;53;71;66;75;75
600;79;Ross Barkley;Chelsea;England;Premier League;CAM;4;5;Right;Normal;70;73;77;80;56;73
2000;81;André Gomes Magalhães Almeida;SL Benfica;Portugal;Liga NOS;RB;3;3;Right;Normal;68;63;76;75;82;82
15000;84;Marcos Acuña;Sporting CP;Argentina;Liga NOS;LB;4;3;Left;IF;80;77;85;87;81;87
113333;86;Alejandro Gómez;Atalanta;Argentina;Serie A TIM;CAM;4;4;Right;IF;90;80;83;87;40;56
667;78;Nemanja Maksimovic;Getafe CF;Serbia;LaLiga Santander;CM;3;3;Right;Normal;62;67;74;72;76;74
3233;83;Jordan Henderson;Liverpool;England;Premier League;CDM;3;3;Right;Normal;64;70;83;77;78;80
886333;88;Emmanuel Petit;Icons;France;Icons;CDM;3;3;Left;Icon;75;77;81;77;86;88
16250;87;Carlos Henrique Venancio Casimiro;Real Madrid;Brazil;LaLiga Santander;CDM;2;3;Right;Normal;62;72;75;72;85;89
683;77;Mouctar Diakhaby;Valencia CF;France;LaLiga Santander;CB;2;3;Right;Normal;56;37;52;58;76;77
1933;82;Pedro Rodríguez Ledesma;Chelsea;Spain;Premier League;RW;4;5;Right;CL;75;77;77;83;43;56
483;77;Ole Kristian Selnæs;Shenzhen FC;Norway;CSL;CDM;3;3;Left;Normal;66;60;75;73;72;72
700;80;Maximiliano Gómez;Valencia CF;Uruguay;LaLiga Santander;ST;3;3;Right;Normal;64;80;68;73;32;79
